report_date,region,class,type,volume,pct_chg
2017-11-27,Southwest (SW),,Specialty,1.9,58.1%
2017-11-27,Southwest (SW),Extra Large,,24.0,-1.9%
2017-11-27,Southwest (SW),Jumbo,,9.1,68.6%
2017-11-27,Southwest (SW),Large,,88.2,7.3%
2017-11-27,Southwest (SW),Medium,,22.1,-5.8%
2017-11-27,Southwest (SW),Misc,,4.3,18.4%
2017-11-27,Southwest (SW),Small,,2.7,122.3%
2017-11-27,Southwest (SW),Total,,158.9,8.9%
2017-11-27,Southwest (SW),Ungraded,,8.6,50.5%
2017-12-04,,Breaking Stock,,294.4,3.0%
2017-12-04,6-Area,,Cage-Free,41.2,-12.4%
2017-12-04,6-Area,,Organic,64.0,10.4%
2017-12-04,6-Area,,Specialty,35.2,4.7%
2017-12-04,6-Area,Extra Large,,168.3,27.8%
2017-12-04,6-Area,Jumbo,,59.3,-2.0%
2017-12-04,6-Area,Large,,628.1,15.9%
2017-12-04,6-Area,Medium,,142.2,6.0%
2017-12-04,6-Area,Misc,,78.4,10.0%
2017-12-04,6-Area,Small,,18.5,-20.7%
2017-12-04,6-Area,Total,,1279.2,12.5%
2017-12-04,6-Area,Ungraded,,184.4,6.1%
2017-12-04,Midwest (MW),,Cage-Free,20.1,3.2%
2017-12-04,Midwest (MW),,Organic,31.5,-2.4%
2017-12-04,Midwest (MW),,Specialty,1.4,-28.6%
2017-12-04,Midwest (MW),Extra Large,,32.2,20.2%
2017-12-04,Midwest (MW),Jumbo,,14.6,-14.0%
2017-12-04,Midwest (MW),Large,,107.9,17.4%
2017-12-04,Midwest (MW),Medium,,46.3,-1.4%
2017-12-04,Midwest (MW),Misc,,38.6,7.0%
2017-12-04,Midwest (MW),Small,,8.3,12.7%
2017-12-04,Midwest (MW),Total,,325.0,5.0%
2017-12-04,Midwest (MW),Ungraded,,76.9,-7.7%
2017-12-04,Northeast (NE),,Cage-Free,1.7,18.0%
2017-12-04,Northeast (NE),,Organic,7.6,35.7%
2017-12-04,Northeast (NE),,Specialty,4.9,36.8%
2017-12-04,Northeast (NE),Extra Large,,36.9,51.7%
2017-12-04,Northeast (NE),Jumbo,,11.4,49.6%
2017-12-04,Northeast (NE),Large,,77.4,31.1%
2017-12-04,Northeast (NE),Medium,,15.5,40.7%
2017-12-04,Northeast (NE),Misc,,2.6,71.0%
2017-12-04,Northeast (NE),Small,,1.7,-57.4%
2017-12-04,Northeast (NE),Total,,158.5,35.7%
2017-12-04,Northeast (NE),Ungraded,,13.1,40.9%
2017-12-04,Northwest (NW),,Cage-Free,0.7,-36.7%
2017-12-04,Northwest (NW),,Organic,0.8,1.5%
2017-12-04,Northwest (NW),,Specialty,2.7,42.5%
2017-12-04,Northwest (NW),Extra Large,,5.5,-1.7%
2017-12-04,Northwest (NW),Jumbo,,4.8,-12.5%
2017-12-04,Northwest (NW),Large,,62.6,-0.7%
2017-12-04,Northwest (NW),Medium,,10.7,2.4%
2017-12-04,Northwest (NW),Misc,,1.4,12.5%
2017-12-04,Northwest (NW),Small,,2.2,-31.0%
