release_date,week_ending_date,hatchability_pct,source,txt_url,pdf_url
2014-01-29,,83.0,seed,,
2014-02-05,,83.0,seed,,
2014-02-12,,83.0,seed,,
2014-02-19,,83.0,seed,,
2014-02-26,,83.0,seed,,
2014-03-05,,83.0,seed,,
2014-03-12,,83.0,seed,,
2014-03-19,,83.0,seed,,
2014-03-26,,83.0,seed,,
2014-04-02,,83.0,seed,,
2014-04-09,,83.0,seed,,
2014-04-16,,83.0,seed,,
2014-04-23,,83.0,seed,,
2014-04-30,,83.0,seed,,
2014-05-07,,83.0,seed,,
2014-05-14,,83.0,seed,,
2014-05-21,,83.0,seed,,
2014-05-29,,83.0,seed,,
2014-06-04,,83.0,seed,,
2014-06-11,,83.0,seed,,
2014-06-18,,83.0,seed,,
2014-06-25,,83.0,seed,,
2014-07-02,,83.0,seed,,
2014-07-09,,83.0,seed,,
2014-07-16,,83.0,seed,,
2014-07-23,,83.0,seed,,
2014-07-30,,83.0,seed,,
2014-08-06,,83.0,seed,,
2014-08-13,,83.0,seed,,
2014-08-20,,83.0,seed,,
2014-08-27,,83.0,seed,,
2014-09-04,,83.0,seed,,
2014-09-10,,83.0,seed,,
2014-09-17,,84.0,seed,,
2014-09-24,,83.0,seed,,
2014-10-01,,83.0,seed,,
2014-10-08,,83.0,seed,,
2014-10-15,,83.0,seed,,
2014-10-22,,84.0,seed,,
2014-10-29,,83.0,seed,,
2014-11-05,,83.0,seed,,
2014-11-13,,83.0,seed,,
2014-11-19,,84.0,seed,,
2014-11-26,,83.0,seed,,
2014-12-03,,83.0,seed,,
2014-12-10,,83.0,seed,,
2014-12-17,,83.0,seed,,
2014-12-24,,83.0,seed,,
2014-12-31,,83.0,seed,,
2015-01-07,,83.0,seed,,
2015-01-14,,84.0,seed,,
2015-01-21,,83.0,seed,,
2015-01-28,,83.0,seed,,
2015-02-04,,83.0,seed,,
2015-02-11,,83.0,seed,,
2015-02-18,,83.0,seed,,
2015-02-25,,83.0,seed,,
2015-03-04,,83.0,seed,,
2015-03-11,,83.0,seed,,
2015-03-18,,83.0,seed,,
2015-03-25,,83.0,seed,,
2015-04-01,,83.0,seed,,
2015-04-08,,83.0,seed,,
2015-04-15,,83.0,seed,,
2015-04-22,,84.0,seed,,
2015-04-29,,84.0,seed,,
2015-05-06,,84.0,seed,,
2015-05-13,,84.0,seed,,
2015-05-20,,84.0,seed,,
2015-05-28,,84.0,seed,,
2015-06-03,,84.0,seed,,
2015-06-10,,84.0,seed,,
2015-06-17,,84.0,seed,,
2015-06-24,,84.0,seed,,
2015-07-01,,84.0,seed,,
2015-07-08,,84.0,seed,,
2015-07-15,,84.0,seed,,
2015-07-22,,84.0,seed,,
2015-07-29,,84.0,seed,,
2015-08-05,,84.0,seed,,
2015-08-12,,84.0,seed,,
2015-08-19,,84.0,seed,,
2015-08-26,,84.0,seed,,
