report_date,class,period,volume
2019-05-27,Inline Liquid Whole Egg,2019 Year to date,421496.0
2019-05-27,Inline Liquid Whole Egg,Current Week,19106.0
2019-05-27,Inline Liquid Whole Egg,Last Year,19755.0
2019-05-27,Inline Liquid Whole Egg,Prior Week,18337.0
2019-05-27,Liquid White,2018 Year to date,310364.0
2019-05-27,Liquid White,2019 Year to date,352838.0
2019-05-27,Liquid White,Current Week,15769.0
2019-05-27,Liquid White,LY % Change,0.0
2019-05-27,Liquid White,Last Year,14596.0
2019-05-27,Liquid White,PW % Change,0.0
2019-05-27,Liquid White,Previous Month Total,66191.0
2019-05-27,Liquid White,Prior Week,17748.0
2019-05-27,Liquid White,YTD % Change,0.0
2019-05-27,Liquid Whole,2018 Year to date,802817.0
2019-05-27,Liquid Whole,2019 Year to date,802333.0
2019-05-27,Liquid Whole,Current Week,35773.0
2019-05-27,Liquid Whole,LY % Change,0.0
2019-05-27,Liquid Whole,Last Year,36604.0
2019-05-27,Liquid Whole,PW % Change,0.0
2019-05-27,Liquid Whole,Previous Month Total,142437.0
2019-05-27,Liquid Whole,Prior Week,35960.0
2019-05-27,Liquid Whole,YTD % Change,0.0
2019-05-27,Liquid Yolk,2018 Year to date,156204.0
2019-05-27,Liquid Yolk,2019 Year to date,176771.0
2019-05-27,Liquid Yolk,Current Week,7929.0
2019-05-27,Liquid Yolk,LY % Change,0.0
2019-05-27,Liquid Yolk,Last Year,7575.0
2019-05-27,Liquid Yolk,PW % Change,0.0
2019-05-27,Liquid Yolk,Previous Month Total,33204.0
2019-05-27,Liquid Yolk,Prior Week,8786.0
2019-05-27,Liquid Yolk,YTD % Change,0.0
2019-05-27,Yield W/O Inedible,2018 Year to date,0.0
2019-05-27,Yield W/O Inedible,2019 Year to date,0.0
2019-05-27,Yield W/O Inedible,Current Week,0.0
2019-05-27,Yield W/O Inedible,Last Year,0.0
2019-05-27,Yield W/O Inedible,Previous Month Total,0.0
2019-05-27,Yield W/O Inedible,Prior Week,0.0
2019-05-27,Yield With Inedible,Previous Month Total,0.0
2019-05-27,Yield with Inedible,2018 Year to date,0.0
2019-05-27,Yield with Inedible,2019 Year to date,0.0
2019-05-27,Yield with Inedible,Current Week,0.0
2019-05-27,Yield with Inedible,Last Year,0.0
2019-05-27,Yield with Inedible,Prior Week,0.0
2019-06-03,Cases Broken,2018 Year to date,34294591.0
2019-06-03,Cases Broken,2019 Year to date,36066004.0
2019-06-03,Cases Broken,Current Week,1686874.0
2019-06-03,Cases Broken,LY % Change,0.0
2019-06-03,Cases Broken,Last Year,1639539.0
2019-06-03,Cases Broken,PW % Change,0.0
2019-06-03,Cases Broken,Previous Month Total,8023761.0
2019-06-03,Cases Broken,Prior Week,1530855.0
2019-06-03,Cases Broken,YTD % Change,0.0
2019-06-03,Dried,2018 Year to date,54083.0
2019-06-03,Dried,2019 Year to date,66172.0
2019-06-03,Dried,Current Week,3051.0
2019-06-03,Dried,LY % Change,0.0
2019-06-03,Dried,Last Year,3160.0
2019-06-03,Dried,PW % Change,0.0
2019-06-03,Dried,Previous Month Total,15790.0
2019-06-03,Dried,Prior Week,3149.0
2019-06-03,Dried,YTD % Change,0.0
2019-06-03,Inedible,2018 Year to date,109880.0
2019-06-03,Inedible,2019 Year to date,115847.0
2019-06-03,Inedible,Current Week,5451.0
2019-06-03,Inedible,LY % Change,0.0
2019-06-03,Inedible,Last Year,5098.0
2019-06-03,Inedible,PW % Change,0.0
2019-06-03,Inedible,Previous Month Total,26325.0
2019-06-03,Inedible,Prior Week,4887.0
2019-06-03,Inedible,YTD % Change,0.0
2019-06-03,Inline % of Total Cases Broken,2018 Year to date,0.0
2019-06-03,Inline % of Total Cases Broken,2019 Year to date,0.0
2019-06-03,Inline % of Total Cases Broken,Current Week,0.0
2019-06-03,Inline % of Total Cases Broken,Last Year,0.0
2019-06-03,Inline % of Total Cases Broken,Prior Week,0.0
2019-06-03,Inline % of Total Liquid Whole Egg,2018 Year to date,0.0
2019-06-03,Inline % of Total Liquid Whole Egg,2019 Year to date,0.0
2019-06-03,Inline % of Total Liquid Whole Egg,Current Week,0.0
2019-06-03,Inline % of Total Liquid Whole Egg,Last Year,0.0
2019-06-03,Inline % of Total Liquid Whole Egg,Prior Week,0.0
2019-06-03,Inline Cases Broken,% Change,0.0
2019-06-03,Inline Cases Broken,2018 Year to date,18368045.0
2019-06-03,Inline Cases Broken,2019 Year to date,19710995.0
2019-06-03,Inline Cases Broken,Current Week,927523.0
2019-06-03,Inline Cases Broken,Last Year,814171.0
2019-06-03,Inline Cases Broken,Prior Week,873565.0
2019-06-03,Inline Liquid Whole Egg,% Change,0.0
2019-06-03,Inline Liquid Whole Egg,2018 Year to date,441813.0
2019-06-03,Inline Liquid Whole Egg,2019 Year to date,443195.0
2019-06-03,Inline Liquid Whole Egg,Current Week,21699.0
2019-06-03,Inline Liquid Whole Egg,Last Year,19141.0
2019-06-03,Inline Liquid Whole Egg,Prior Week,19106.0
2019-06-03,Liquid White,2018 Year to date,326459.0
2019-06-03,Liquid White,2019 Year to date,369531.0
2019-06-03,Liquid White,Current Week,16693.0
2019-06-03,Liquid White,LY % Change,0.0
2019-06-03,Liquid White,Last Year,16095.0
2019-06-03,Liquid White,PW % Change,0.0
2019-06-03,Liquid White,Previous Month Total,85270.0
2019-06-03,Liquid White,Prior Week,15769.0
2019-06-03,Liquid White,YTD % Change,0.0
2019-06-03,Liquid Whole,2018 Year to date,841164.0
2019-06-03,Liquid Whole,2019 Year to date,842259.0
2019-06-03,Liquid Whole,Current Week,39926.0
2019-06-03,Liquid Whole,LY % Change,0.0
2019-06-03,Liquid Whole,Last Year,38347.0
