year,reference_period,class,value,unit,agg_level,state_alpha
2010,FEB,TABLE,212000000.0,EGGS,STATE,MN
2010,FEB,ALL CLASSES,153000000.0,EGGS,STATE,MO
2010,FEB,TABLE,,EGGS,STATE,MO
2010,FEB,ALL CLASSES,111000000.0,EGGS,STATE,MS
2010,FEB,TABLE,32000000.0,EGGS,STATE,MS
2010,FEB,ALL CLASSES,249000000.0,EGGS,STATE,NC
2010,FEB,TABLE,130000000.0,EGGS,STATE,NC
2010,FEB,ALL CLASSES,205000000.0,EGGS,STATE,NE
2010,FEB,TABLE,205000000.0,EGGS,STATE,NE
2010,FEB,ALL CLASSES,89000000.0,EGGS,STATE,NY
2010,FEB,TABLE,,EGGS,STATE,NY
2010,FEB,ALL CLASSES,562000000.0,EGGS,STATE,OH
2010,FEB,TABLE,,EGGS,STATE,OH
2010,FEB,ALL CLASSES,59000000.0,EGGS,STATE,OR
2010,FEB,TABLE,57000000.0,EGGS,STATE,OR
2010,FEB,ALL CLASSES,402000000.0,EGGS,STATE,OT
2010,FEB,TABLE,277000000.0,EGGS,STATE,OT
2010,FEB,ALL CLASSES,586000000.0,EGGS,STATE,PA
2010,FEB,TABLE,565000000.0,EGGS,STATE,PA
2010,FEB,ALL CLASSES,84000000.0,EGGS,STATE,SC
2010,FEB,TABLE,64000000.0,EGGS,STATE,SC
2010,FEB,ALL CLASSES,52000000.0,EGGS,STATE,SD
2010,FEB,TABLE,52000000.0,EGGS,STATE,SD
2010,FEB,ALL CLASSES,367000000.0,EGGS,STATE,TX
2010,FEB,TABLE,,EGGS,STATE,TX
2010,FEB,ALL CLASSES,67000000.0,EGGS,STATE,UT
2010,FEB,TABLE,67000000.0,EGGS,STATE,UT
2010,FEB,ALL CLASSES,54000000.0,EGGS,STATE,VA
2010,FEB,TABLE,24000000.0,EGGS,STATE,VA
2010,FEB,ALL CLASSES,132000000.0,EGGS,STATE,WA
2010,FEB,TABLE,,EGGS,STATE,WA
2010,FEB,ALL CLASSES,97000000.0,EGGS,STATE,WI
2010,FEB,TABLE,,EGGS,STATE,WI
2010,JAN,ALL CLASSES,7754000000.0,EGGS,NATIONAL,
2010,JAN,TABLE,6657000000.0,EGGS,NATIONAL,
2010,JAN,"HATCHING, BROILER TYPE",1023000000.0,EGGS,NATIONAL,
2010,JAN,ALL CLASSES,182000000.0,EGGS,STATE,AL
2010,JAN,TABLE,27000000.0,EGGS,STATE,AL
2010,JAN,ALL CLASSES,249000000.0,EGGS,STATE,AR
2010,JAN,TABLE,78000000.0,EGGS,STATE,AR
2010,JAN,ALL CLASSES,439000000.0,EGGS,STATE,CA
2010,JAN,TABLE,,EGGS,STATE,CA
2010,JAN,ALL CLASSES,90000000.0,EGGS,STATE,CO
2010,JAN,TABLE,,EGGS,STATE,CO
2010,JAN,ALL CLASSES,60000000.0,EGGS,STATE,CT
2010,JAN,TABLE,,EGGS,STATE,CT
2010,JAN,ALL CLASSES,227000000.0,EGGS,STATE,FL
2010,JAN,TABLE,222000000.0,EGGS,STATE,FL
2010,JAN,ALL CLASSES,389000000.0,EGGS,STATE,GA
2010,JAN,TABLE,221000000.0,EGGS,STATE,GA
2010,JAN,ALL CLASSES,6000000.0,EGGS,STATE,HI
2010,JAN,TABLE,6000000.0,EGGS,STATE,HI
2010,JAN,ALL CLASSES,1240000000.0,EGGS,STATE,IA
2010,JAN,TABLE,1226000000.0,EGGS,STATE,IA
2010,JAN,ALL CLASSES,111000000.0,EGGS,STATE,IL
2010,JAN,TABLE,108000000.0,EGGS,STATE,IL
2010,JAN,ALL CLASSES,551000000.0,EGGS,STATE,IN
2010,JAN,TABLE,538000000.0,EGGS,STATE,IN
2010,JAN,ALL CLASSES,53000000.0,EGGS,STATE,MD
2010,JAN,TABLE,52000000.0,EGGS,STATE,MD
2010,JAN,ALL CLASSES,86000000.0,EGGS,STATE,ME
2010,JAN,TABLE,,EGGS,STATE,ME
2010,JAN,ALL CLASSES,254000000.0,EGGS,STATE,MI
2010,JAN,TABLE,,EGGS,STATE,MI
2010,JAN,ALL CLASSES,242000000.0,EGGS,STATE,MN
2010,JAN,TABLE,233000000.0,EGGS,STATE,MN
2010,JAN,ALL CLASSES,169000000.0,EGGS,STATE,MO
2010,JAN,TABLE,,EGGS,STATE,MO
2010,JAN,ALL CLASSES,122000000.0,EGGS,STATE,MS
2010,JAN,TABLE,35000000.0,EGGS,STATE,MS
2010,JAN,ALL CLASSES,277000000.0,EGGS,STATE,NC
2010,JAN,TABLE,144000000.0,EGGS,STATE,NC
2010,JAN,ALL CLASSES,231000000.0,EGGS,STATE,NE
2010,JAN,TABLE,231000000.0,EGGS,STATE,NE
2010,JAN,ALL CLASSES,98000000.0,EGGS,STATE,NY
2010,JAN,TABLE,,EGGS,STATE,NY
2010,JAN,ALL CLASSES,627000000.0,EGGS,STATE,OH
2010,JAN,TABLE,,EGGS,STATE,OH
2010,JAN,ALL CLASSES,59000000.0,EGGS,STATE,OR
2010,JAN,TABLE,57000000.0,EGGS,STATE,OR
2010,JAN,ALL CLASSES,446000000.0,EGGS,STATE,OT
2010,JAN,TABLE,309000000.0,EGGS,STATE,OT
2010,JAN,ALL CLASSES,586000000.0,EGGS,STATE,PA
2010,JAN,TABLE,565000000.0,EGGS,STATE,PA
2010,JAN,ALL CLASSES,94000000.0,EGGS,STATE,SC
