report_date,egg_type,price_low,price_high,avg_price,avg_price_prev,price_unit
2025-08-28,Undergrades,128.0,132.0,130.0,130.0,Cents Per Dozen
2025-08-29,Breaking Stock,134.0,143.0,139.75,139.75,Cents Per Dozen
2025-08-29,Undergrades,128.0,132.0,130.0,130.0,Cents Per Dozen
2025-09-02,Breaking Stock,134.0,143.0,139.75,139.75,Cents Per Dozen
2025-09-02,Undergrades,128.0,132.0,130.0,130.0,Cents Per Dozen
2025-09-03,Breaking Stock,134.0,143.0,139.75,139.75,Cents Per Dozen
2025-09-03,Undergrades,128.0,132.0,130.0,130.0,Cents Per Dozen
2025-09-04,Breaking Stock,134.0,143.0,139.75,139.75,Cents Per Dozen
2025-09-04,Undergrades,128.0,132.0,130.0,130.0,Cents Per Dozen
2025-09-05,Breaking Stock,134.0,143.0,139.75,139.75,Cents Per Dozen
2025-09-05,Undergrades,128.0,132.0,130.0,130.0,Cents Per Dozen
2025-09-08,Breaking Stock,134.0,143.0,139.75,139.75,Cents Per Dozen
2025-09-08,Undergrades,128.0,132.0,130.0,130.0,Cents Per Dozen
2025-09-09,Breaking Stock,134.0,143.0,139.75,139.75,Cents Per Dozen
2025-09-09,Undergrades,128.0,132.0,130.0,130.0,Cents Per Dozen
2025-09-10,Breaking Stock,134.0,143.0,139.75,139.75,Cents Per Dozen
2025-09-10,Undergrades,128.0,132.0,130.0,130.0,Cents Per Dozen
2025-09-11,Breaking Stock,134.0,143.0,139.75,139.75,Cents Per Dozen
2025-09-11,Undergrades,128.0,132.0,130.0,130.0,Cents Per Dozen
2025-09-12,Breaking Stock,134.0,143.0,138.5,139.75,Cents Per Dozen
2025-09-12,Undergrades,128.0,132.0,130.0,130.0,Cents Per Dozen
2025-09-15,Breaking Stock,130.0,143.0,137.25,138.5,Cents Per Dozen
2025-09-15,Undergrades,128.0,132.0,130.0,130.0,Cents Per Dozen
2025-09-16,Breaking Stock,130.0,143.0,137.25,137.25,Cents Per Dozen
2025-09-16,Undergrades,128.0,132.0,130.0,130.0,Cents Per Dozen
2025-09-17,Breaking Stock,130.0,141.0,135.25,137.25,Cents Per Dozen
2025-09-17,Undergrades,126.0,130.0,128.0,130.0,Cents Per Dozen
2025-09-18,Breaking Stock,129.0,138.0,133.5,135.25,Cents Per Dozen
2025-09-18,Undergrades,123.0,127.0,125.0,128.0,Cents Per Dozen
2025-09-19,Breaking Stock,115.0,135.0,126.25,133.5,Cents Per Dozen
2025-09-19,Undergrades,117.0,121.0,119.0,125.0,Cents Per Dozen
2025-09-22,Breaking Stock,115.0,129.0,121.75,126.25,Cents Per Dozen
2025-09-22,Undergrades,111.0,115.0,113.0,119.0,Cents Per Dozen
2025-09-23,Breaking Stock,109.0,123.0,115.75,121.75,Cents Per Dozen
2025-09-23,Undergrades,105.0,109.0,107.0,113.0,Cents Per Dozen
2025-09-24,Breaking Stock,100.0,117.0,109.0,115.75,Cents Per Dozen
2025-09-24,Undergrades,99.0,103.0,101.0,107.0,Cents Per Dozen
2025-09-25,Breaking Stock,99.0,115.0,105.5,109.0,Cents Per Dozen
2025-09-25,Undergrades,93.0,97.0,95.0,101.0,Cents Per Dozen
2025-09-26,Breaking Stock,96.0,115.0,103.5,105.5,Cents Per Dozen
2025-09-26,Undergrades,90.0,94.0,92.0,95.0,Cents Per Dozen
2025-09-29,Breaking Stock,94.0,115.0,102.5,103.5,Cents Per Dozen
2025-09-29,Undergrades,88.0,92.0,90.0,92.0,Cents Per Dozen
2025-09-30,Breaking Stock,94.0,115.0,102.5,102.5,Cents Per Dozen
2025-09-30,Undergrades,88.0,92.0,90.0,90.0,Cents Per Dozen
2025-10-01,Breaking Stock,94.0,103.0,99.25,102.5,Cents Per Dozen
2025-10-01,Undergrades,88.0,92.0,90.0,90.0,Cents Per Dozen
2025-10-02,Breaking Stock,90.0,102.0,95.75,99.25,Cents Per Dozen
2025-10-02,Undergrades,85.0,89.0,87.0,90.0,Cents Per Dozen
2025-10-03,Breaking Stock,90.0,102.0,95.75,95.75,Cents Per Dozen
2025-10-03,Undergrades,85.0,89.0,87.0,87.0,Cents Per Dozen
2025-10-06,Breaking Stock,90.0,102.0,95.75,95.75,Cents Per Dozen
2025-10-06,Undergrades,85.0,89.0,87.0,87.0,Cents Per Dozen
2025-10-07,Breaking Stock,90.0,102.0,95.75,95.75,Cents Per Dozen
2025-10-07,Undergrades,85.0,89.0,87.0,87.0,Cents Per Dozen
2025-10-08,Breaking Stock,90.0,102.0,95.75,95.75,Cents Per Dozen
2025-10-08,Undergrades,85.0,89.0,87.0,87.0,Cents Per Dozen
