release_date,hatchability_pct
2023-07-26,79.4
2023-08-02,79.4
2023-08-09,79.4
2023-08-16,79.5
2023-08-23,79.5
2023-08-30,79.7
2023-09-06,80.2
2023-09-13,80.3
2023-09-20,80.3
2023-09-27,80.3
2023-10-04,80.6
2023-10-11,80.6
2023-10-18,80.7
2023-10-26,80.4
2023-11-01,80.3
2023-11-08,80.1
2023-11-15,80.5
2023-11-22,80.5
2023-11-29,80.5
2023-12-06,79.9
2023-12-13,80.4
2023-12-20,80.4
2023-12-27,80.4
2024-01-03,79.2
2024-01-10,79.8
2024-01-17,79.8
2024-01-24,79.9
2024-01-31,79.6
2024-02-07,79.5
2024-02-14,79.3
2024-02-21,79
2024-02-28,79
2024-03-06,79.1
2024-03-13,79.3
2024-03-20,79
2024-03-27,78.9
2024-04-03,78.8
2024-04-10,79
2024-04-17,78.9
2024-04-24,79.1
2024-05-01,79.1
2024-05-08,79
2024-05-15,79
2024-05-22,79.1
2024-05-29,79.2
2024-06-05,79.1
